====================
LastFM
====================
F=10 | P=0.1267±0.0020 | R=0.1283±0.0019
F=20 | P=0.1332±0.0018 | R=0.1350±0.0018
F=30 | P=0.1340±0.0017 | R=0.1358±0.0018
F=40 | P=0.1330±0.0017 | R=0.1347±0.0018
F=50 | P=0.1328±0.0024 | R=0.1346±0.0024
F=60 | P=0.1316±0.0019 | R=0.1333±0.0020
F=70 | P=0.1324±0.0017 | R=0.1342±0.0016
F=80 | P=0.1322±0.0028 | R=0.1339±0.0028
F=90 | P=0.1329±0.0018 | R=0.1345±0.0018
F=100 | P=0.1306±0.0019 | R=0.1323±0.0019

K=2 | P=0.1721±0.0013 | R=0.0347±0.0003
K=4 | P=0.1494±0.0009 | R=0.0603±0.0004
K=6 | P=0.1349±0.0015 | R=0.0817±0.0010
K=8 | P=0.1247±0.0017 | R=0.1007±0.0013
K=10 | P=0.1162±0.0013 | R=0.1174±0.0013
K=12 | P=0.1105±0.0003 | R=0.1338±0.0003
K=14 | P=0.1041±0.0003 | R=0.1473±0.0004
K=16 | P=0.0991±0.0012 | R=0.1604±0.0020
K=18 | P=0.0946±0.0007 | R=0.1721±0.0014
K=20 | P=0.0913±0.0006 | R=0.1848±0.0011

====================
MovieLens
====================
F=10 | P=0.1997±0.0015 | R=0.0834±0.0011
F=20 | P=0.2204±0.0017 | R=0.0982±0.0009
F=30 | P=0.2251±0.0015 | R=0.1030±0.0008
F=40 | P=0.2274±0.0011 | R=0.1049±0.0007
F=50 | P=0.2260±0.0014 | R=0.1051±0.0008
F=60 | P=0.2255±0.0014 | R=0.1056±0.0008
F=70 | P=0.2246±0.0014 | R=0.1053±0.0010
F=80 | P=0.2240±0.0012 | R=0.1055±0.0005
F=90 | P=0.2236±0.0014 | R=0.1055±0.0009
F=100 | P=0.2241±0.0010 | R=0.1060±0.0009

K=2 | P=0.2527±0.0048 | R=0.0247±0.0006
K=4 | P=0.2370±0.0007 | R=0.0457±0.0003
K=6 | P=0.2235±0.0006 | R=0.0633±0.0002
K=8 | P=0.2146±0.0013 | R=0.0807±0.0008
K=10 | P=0.2053±0.0004 | R=0.0948±0.0003
K=12 | P=0.1984±0.0002 | R=0.1092±0.0001
K=14 | P=0.1922±0.0009 | R=0.1226±0.0009
K=16 | P=0.1874±0.0007 | R=0.1353±0.0003
K=18 | P=0.1833±0.0003 | R=0.1483±0.0001
K=20 | P=0.1775±0.0002 | R=0.1580±0.0007
